item_name,processor_name,timestamp,timestamp_end,isForecast_start,isForecast_end
1,ERP,"Jan 03, 2020 @ 12:12:47.000","Jan 04, 2020 @ 19:31:52.000",false,false
1,PIM Edit,"Jan 04, 2020 @ 19:31:52.000","Jan 04, 2020 @ 23:10:04.000",false,true
1,PIM Browse B2B,"Jan 04, 2020 @ 23:10:04.000","Jan 05, 2020 @ 15:41:46.000",true,true
1,D2C,"Jan 05, 2020 @ 15:41:46.000","Jan 07, 2020 @ 04:29:06.000",true,true
2,ERP,"Jan 03, 2020 @ 12:13:47.000","Jan 04, 2020 @ 19:32:52.000",false,false
2,PIM Edit,"Jan 04, 2020 @ 19:32:52.000","Jan 04, 2020 @ 23:11:04.000",false,true
2,PIM Browse B2B,"Jan 04, 2020 @ 23:11:04.000","Jan 05, 2020 @ 15:42:46.000",true,true
2,D2C,"Jan 05, 2020 @ 15:42:46.000","Jan 07, 2020 @ 04:30:06.000",true,true
3,ERP,"Jan 03, 2020 @ 12:14:47.000","Jan 04, 2020 @ 19:33:52.000",false,false
3,PIM Edit,"Jan 04, 2020 @ 19:33:52.000","Jan 04, 2020 @ 23:12:04.000",false,true
3,PIM Browse B2B,"Jan 04, 2020 @ 23:12:04.000","Jan 05, 2020 @ 15:43:46.000",true,true
3,D2C,"Jan 05, 2020 @ 15:43:46.000","Jan 07, 2020 @ 04:31:06.000",true,true
4,ERP,"Jan 03, 2020 @ 12:15:47.000","Jan 04, 2020 @ 19:34:52.000",false,false
4,PIM Edit,"Jan 04, 2020 @ 19:34:52.000","Jan 04, 2020 @ 23:13:04.000",false,true
4,PIM Browse B2B,"Jan 04, 2020 @ 23:13:04.000","Jan 05, 2020 @ 15:44:46.000",true,true
4,D2C,"Jan 05, 2020 @ 15:44:46.000","Jan 07, 2020 @ 04:32:06.000",true,true
5,ERP,"Jan 03, 2020 @ 12:16:47.000","Jan 04, 2020 @ 19:35:52.000",false,false
5,PIM Edit,"Jan 04, 2020 @ 19:35:52.000","Jan 04, 2020 @ 23:14:04.000",false,true
5,PIM Browse B2B,"Jan 04, 2020 @ 23:14:04.000","Jan 05, 2020 @ 15:45:46.000",true,true
5,D2C,"Jan 05, 2020 @ 15:45:46.000","Jan 07, 2020 @ 04:33:06.000",true,true
